GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Bamberg,Landkreis,9471,374.0,0%,374,,https://www.landkreis-bamberg.de/Leben/Gesundheit-und-Soziales/Corona-Virus/Pressemitteilungen/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,23/04/2020 10:00, 374,160.0,,31.0,11.0,31.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia,0,C374 G160 D31 22:30-23:00,James,,0,,160.0,371,31.0,,,,,,,,,10.0,314,160.0,31.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Bayreuth,Kreisfreie Stadt,9462,183.0,5%,193,,https://www.bayreuth.de/rathaus-buergerservice/leben-in-bayreuth/notfaelle-gesundheit/notfaelle-gesundheit/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/coronavirus-startseite/,24/04/2020 00:00, 193,123.0,,19.0,7.0,6.0,24/04/2020,https://www.landkreis-bayreuth.de/umwelt-gesundheit/coronavirus-wir-informieren/,@Colonia Claudia, 10,C193 G123 D6 22:30-23:00,James,x,1,,123.0,183,6.0,,,,,,,,,3.0,113,123.0,6.0,,9,1.0,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/coronavirus-startseite/
Bayreuth,Landkreis,9472,393.0,0%,394,,https://www.landkreis-bayreuth.de/umwelt-gesundheit/coronavirus-wir-informieren/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/coronavirus-startseite/,24/04/2020 00:00, 394,242.0,,25.0,12.0,15.0,24/04/2020,https://www.landkreis-bayreuth.de/umwelt-gesundheit/coronavirus-wir-informieren/,@distanzreiter, 1,C394 G242 D15 22:30-23:00,James,x,1,,242.0,387,15.0,,,,,,,,,3.0,253,242.0,13.0,23/04/2020 00:00,9,1.0,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/coronavirus-startseite/
Berchtesgadener Land,Landkreis,9172,267.0,2%,273,273.0,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,24/04/2020 00:00, 273,186.0, 75,64.0,7.0,18.0,24/04/2020,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///aktuell-insgesamt-273-bestaetigte-corona-infektionsfaelle/,@Colonia Claudia, 6,273 C 186 G 18 D Checked 16:51,@jonasfbb,Stain Fels,1,,186.0,266,18.0,159.0,,,,,,,,3.0,214,173.0,17.0,23/04/2020 00:00,9,1.0,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/
Cham,Landkreis,9372,381.0,0%,381,,https://www.landkreis-cham.de/,https://www.landkreis-cham.de/aktuelles-nachrichten/alle-meldungen/das-landratsamt-cham-informiert-zum-corona-virus-2/,23/04/2020 00:00, 381,322.0,,7.0,2.0,14.0,,,Nichts Neues,0,C381 G322 D14 22:30-23:00,James,,0,,322.0,377,14.0,,,,,,,,https://www.facebook.com/landratsamt.cham,5.0,321,322.0,14.0,23/04/2020 00:00,9,1.0,https://www.landkreis-cham.de/aktuelles-nachrichten/alle-meldungen/das-landratsamt-cham-informiert-zum-corona-virus-2/
Coburg,Kreisfreie Stadt,9463,57.0,2%,58,,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,24/04/2020 00:00, 58,40.0,,,,0.0,24/04/2020,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,@distanzreiter, 1,C58 G40 21:07 ,@LSDR,James,1,,40.0,56,0.0,40.0,,,,,,,,,38,40.0,0.0,23.04.2020,9,1.0,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/
Coburg,Landkreis,9473,168.0,3%,173,,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,24/04/2020 00:00, 173,79.0,,,,7.0,24/04/2020,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,@distanzreiter, 5,C173 G79 D7 21:07,@LSDR,James,1,,79.0,158,7.0,270.0,,,,,,,,1.0,103,71.0,7.0,23/04/2020,9,1.0,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/
Dachau,Landkreis,9174,821.0,2%,835,,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/,24/04/2020 00:00, 835,577.0,,,,21.0,24/04/2020,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/tagesmeldung-der-positiv-getesteten-personen-im-landkreis-1-weiterer-landkreisbuerger-verstorben-aktuell-835-index-faelle-im-landkreis/,@distanzreiter, 14,C835 G577 D21 21:09,@LSDR,James,1,,577.0,814,21.0,485.0,,,,,,,,9.0,587,577.0,20.0,23/04/2020 19:30,9,1.0,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/
Deggendorf,Landkreis,9271,247.0,0%,247,,https://www.landkreis-deggendorf.de/aktuelles/pressemitteilungen-zu-corona/,https://www.landkreis-deggendorf.de/aktuelles/pressemitteilungen-zu-corona/,23/04/2020 19:30, 251,176.0,,,,9.0,24/04/2020 18:30,https://www.landkreis-deggendorf.de/aktuelles/pressemitteilungen-zu-corona/,@LSDR, 4,C251 G176 D9 22:30-23:00,James,,0,,167.0,242,9.0,,,,,,,,,4.0,171,167.0,9.0,23/04/2020 19:30,9,1.0,https://www.landkreis-deggendorf.de/aktuelles/pressemitteilungen-zu-corona/
Dillingen a.d. Donau,Landkreis,9773,222.0,2%,227,227.0,https://www.landkreis-dillingen.de/Presseberichte.n22.html,https://www.landkreis-dillingen.de/covid-19-konzept-zur-einrichtung-sogenannter-pandemiezonen-im-pro-seniore-in-bissingen-erfolgreich-umgesetzt,24/04/2020 10:00, 227,102.0, 222,,,17.0,24.04.2020 10:00,https://www.landkreis-dillingen.de/weitere-informationen-von-landrat-leo-schrell-zur-corona-krise-stand-24.04.2020,@Elvte_76, 5,227 C 102 G 17 D Checked 17:06,@jonasfbb,Stain Fels,1,,102.0,210,17.0,197.0,,,,,,,,1.0,96,95.0,14.0,23/04/2020 00:00,9,1.0,https://www.landkreis-dillingen.de/covid-19-konzept-zur-einrichtung-sogenannter-pandemiezonen-im-pro-seniore-in-bissingen-erfolgreich-umgesetzt
Dingolfing-Landau,Landkreis,9279,183.0,2%,186,,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,24/04/2020 00:00, 186,130.0, 135,9.0,2.0,3.0,24/04/2020,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,@Colonia Claudia, 3,C186 G130 Q135 S9 I2 D3 21:11,@LSDR,James,1,,130.0,183,3.0,169.0,,,,,,,,1.0,144,128.0,3.0,23/04/2020 19:40,9,1.0,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/
Donau-Ries,Landkreis,9779,315.0,1%,318,,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,24/04/2020 00:00, 318,150.0,,42.0,6.0,22.0,24.04.2020,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,@Elvte_76, 3,C318 G150 S42 I6 D22 21:12,@LSDR,James,1,,150.0,305,22.0,,,,,,,,,9.0,252,149.0,22.0,23/04/2020 19:40,9,1.0,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx
Ebersberg,Landkreis,9175,410.0,2%,420,420.0,https://lra-ebe.de/,https://lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-pressemeldungen/,24/04/2020 00:00, 420,311.0, 353,7.0,3.0,4.0,24.04.2020,https://lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-pressemeldungen/,@Elvte_76, 10,420 C 311 G 4 D Checked 16:49,@jonasfbb,@plateauton,1,,311.0,400,4.0,286.0,,,,,,,https://www.facebook.com/LandkreisEbersberg/,1.0,298,309.0,4.0,23/04/2020 19:30,9,1.0,https://lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-pressemeldungen/
Eichstätt,Landkreis,9176,242.0,0%,242,,https://www.landkreis-eichstaett.de/,https://www.landkreis-eichstaett.de/,23/04/2020 19:40, 245,160.0, 388,,,14.0,24.04.2020,https://www.landkreis-eichstaett.de/,@Elvte_76, 3,C245 G160 D14 22:30-23:00,James,,0,,148.0,237,13.0,386.0,,,,,,,,3.0,152,148.0,13.0,23/04/2020 19:40,9,1.0,https://www.landkreis-eichstaett.de/
Erding,Landkreis,9177,566.0,1%,569,,https://www.landkreis-erding.de/gesundheitswesen/gesundheitsamt/,https://www.landkreis-erding.de/aktuell/pressemitteilungen/corona-virus-im-landkreis-erding-sachstand-22042020/,24/04/2020 18:30, 569,429.0,,12.0,7.0,8.0,24.04.2020 18:30,https://www.landkreis-erding.de/aktuell/pressemitteilungen/corona-virus-im-landkreis-erding-sachstand-24042020/,Thomas Gaigl, 3,C569 G429 S12 I7 D8 21:01,@LSDR,James,1,,429.0,562,8.0,,,4145.0,,,,,,3.0,468,412.0,8.0,23/04/2020,9,1.0,https://www.landkreis-erding.de/aktuell/pressemitteilungen/corona-virus-im-landkreis-erding-sachstand-22042020/
Erlangen,Kreisfreie Stadt,9562,220.0,1%,222,,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,24/04/2020 14:00, 222,129.0,,,,7.0,24/04/2020 14:00,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,@Elvte_76, 2,C222 G129 D7 22:02,@LSDR,James,1,,129.0,219,7.0,,,,,,,,,1.0,162,129.0,7.0,23/04/2020 17:00,9,1.0,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/
Erlangen-Höchstadt,Landkreis,9572,185.0,1%,187,,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,24/04/2020 14:00, 187,128.0,,,,4.0,24/04/2020 14:00,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,@Elvte_76, 2,C187 G128 D4 21:02,@LSDR,James,1,,128.0,182,4.0,,,,,,,,,2.0,146,128.0,4.0,23/04/2020 17:00,9,1.0,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/
Forchheim,Landkreis,9474,197.0,0%,197,,https://lra-fo.de/site/1_1corona/informationen.php,https://lra-fo.de/site/1_1corona/informationen.php,24/04/2020 08:00, 197,150.0,,2.0,2.0,3.0,24/04/2020 08:00,https://lra-fo.de/site/1_1corona/informationen.php,@Elvte_76,0,C197 G150 S2 I2 D3 21:04,@LSDR,James,1,,150.0,197,3.0,,,,,,,,,2.0,158,141.0,3.0,23/04/2020 08:00,9,0.0,https://lra-fo.de/site/1_1corona/informationen.php
Freising,Landkreis,9178,884.0,1%,889,889.0,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac,24/04/2020 13:00, 889,636.0,,,,39.0,24/04/2020 13:00,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac,@Elvte_76, 5,889 C 636 G 39 D Checked 17:05,@jonasfbb,Stain Fels,1,,636.0,884,39.0,,,,,,,,,15.0,748,629.0,38.0,23/04/2020 19:30,9,1.0,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac
Freyung-Grafenau,Landkreis,9272,168.0,2%,171,,https://www.freyung-grafenau.de/verwaltung-und-politik/pressemeldungen/,facebook.com/landkreisfrg/photos/a.347307018663614/3115431461851142/?type=3&theater,24/04/2020 14:30, 171,121.0, 41,7.0,3.0,9.0,24.04.2020 14:30,https://www.facebook.com/landkreisfrg/,@Elvte_76, 3,C171 G121 Q41 S7 I3 D9 21:43,@LSDR,James,1,,121.0,166,9.0,126.0,,,,,,,https://www.facebook.com/landkreisfrg,5.0,127,115.0,9.0,23.04.2020 14:30,9,1.0,facebook.com/landkreisfrg/photos/a.347307018663614/3115431461851142/?type=3&theater
Fürstenfeldbruck,Landkreis,9179,772.0,1%,777,777.0,https://www.lra-ffb.de/amt-service/veroeffentlichungen/pressemitteilungen/,https://www.merkur.de/lokales/fuerstenfeldbruck/fuerstenfeldbruck-ort65548/coronavirus-ffb-fuerstenfeldbruck-news-ticker-infizierte-entwicklungen-infos-hilfe-13628555.html,24/04/2020 08:15, 777,590.0,,33.0,5.0,27.0,24.04.2020 08:15,https://www.lra-ffb.de/aktuelles/pressemitteilungen/news/corona-zahl-der-infizierten-und-genesenen-personen-im-landkreis-fuerstenfeldbruck-in-den-gemeinden-1/,@Elvte_76, 5,777 C 590 G Checked 14:46,@jonasfbb,James,1,,590.0,766,27.0,,,,,,,,,7.0,612,583.0,27.0,23/04/2020,9,1.0,https://www.merkur.de/lokales/fuerstenfeldbruck/fuerstenfeldbruck-ort65548/coronavirus-ffb-fuerstenfeldbruck-news-ticker-infizierte-entwicklungen-infos-hilfe-13628555.html
Fürth,Kreisfreie Stadt,9563,320.0,2%,328,328.0,https://www.fuerth.de/Home/Leben-in-Fuerth/coronavirus.aspx,https://twitter.com/stadtfuerth/status/1252574202806370305,24/04/2020 13:30, 328,116.0, 143,61.0,7.0,25.0,24/04/2020 13:30,https://twitter.com/stadtfuerth/status/1253654718670307330,@Elvte_76, 8,328 C 116 G 27 D Checked 14:49,@jonasfbb,Stain Fels,1,,116.0,301,25.0,,,,,,,,,6.0,203,103.0,23.0,23/04/2020 11:00,9,1.0,https://twitter.com/stadtfuerth/status/1252574202806370305
Fürth,Landkreis,9573,430.0,1%,433,,https://www.landkreis-fuerth.de/corona.html,https://www.landkreis-fuerth.de/corona.html,24/04/2020 11:00, 433,162.0,,,,48.0,24/04/2020 11:00,https://www.landkreis-fuerth.de/corona.html,@mittedeathsquad, 3,C433 G162 D48 21:44,@LSDR,James,1,,162.0,427,48.0,,,,,,,,,14.0,314,141.0,48.0,23/04/2020 13:00,9,1.0,https://www.landkreis-fuerth.de/corona.html
Garmisch-Partenkirchen,Landkreis,9180,290.0,9%,316,,http://coronagap.de/,http://coronagap.de/,24/04/2020 19:00, 316,189.0,,24.0,5.0,13.0,24/04/2020 19:00,http://coronagap.de/,@bandur, 26,C316 G189 S24 I5 D13 21:13,@LSDR,James,1,,189.0,277,13.0,,,,,,,,,1.0,197,178.0,13.0,23/04/2020 19:40,9,1.0,http://coronagap.de/
Günzburg,Landkreis,9774,212.0,1%,214,,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19/aktuelle-fallzahlen,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19/aktuelle-fallzahlen,24/04/2020 13:00, 214,122.0, 227,,,2.0,24/04/2020 13:00,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19/aktuelle-fallzahlen,@Elvte_76, 2,C214 G122 Q227 D2 21:14,@LSDR,James,1,,122.0,211,2.0,269.0,,,,,,,,1.0,161,122.0,2.0,23/04/2020,9,1.0,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19/aktuelle-fallzahlen
Haßberge,Landkreis,9674,143.0,1%,145,,https://www.hassberge.de/aktuelles.html,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1711&cHash=745711eff88849144f6693fad0274828,24/04/2020 00:00, 145,85.0, 181,,,2.0,24/04/2020,"https://www.mainpost.de/regional/hassberge/Im-Kreis-Hassberge-sind-noch-58-Buerger-an-Corona-erkrankt;art513833,10438414",@Colonia Claudia, 2,C145 G85 Q181 D2 21:16 OK Quelle kommt spät abend,@LSDR,James,1,,85.0,140,2.0,169.0,,,,,,,,,98,85.0,2.0,23/04/2020 19:50,9,1.0,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1711&cHash=745711eff88849144f6693fad0274828
Hof,Kreisfreie Stadt,9464,94.0,5%,99,99.0,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 99,57.0,,,,3.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 5,99 C 3 D Checked 14:45,@jonasfbb,@plateauton,1,,57.0,94,3.0,,,,,,,,,2.0,65,57.0,2.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Hof,Landkreis,9475,336.0,9%,367,367.0,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 367,150.0,,,,19.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 31,367 C 19 D Checked 14:44,@jonasfbb,@plateauton,1,,150.0,336,19.0,,,,,,,,,4.0,242,150.0,18.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Ingolstadt,Kreisfreie Stadt,9161,393.0,1%,396,,https://www.ingolstadt.de/Leben/Gesundheit/Infektionsschutz-Reisemedizin/Corona,"https://www.ingolstadt.de/Rathaus/Aktuelles/Aktuelle-Meldungen/Newsticker-Coronavirus/Entwicklung-lokaler-Zahlen-Corona.php?object=tx,2789.5&ModID=7&FID=2789.18792.1&NavID=3052.251&La=1",24/04/2020 00:00, 396,189.0,,31.0,3.0,27.0,24/04/2020,"https://www.ingolstadt.de/Rathaus/Aktuelles/Aktuelle-Meldungen/Newsticker-Coronavirus/Entwicklung-lokaler-Zahlen-Corona.php?object=tx,2789.5&ModID=7&FID=2789.18803.1&NavID=3052.251&La=1",@distanzreiter, 3,C396 G189 S31 I3 D27 21:17,@LSDR,James,1,,189.0,391,27.0,,,,,,,,,7.0,272,189.0,27.0,23/04/2020 19:50,9,1.0,"https://www.ingolstadt.de/Rathaus/Aktuelles/Aktuelle-Meldungen/Newsticker-Coronavirus/Entwicklung-lokaler-Zahlen-Corona.php?object=tx,2789.5&ModID=7&FID=2789.18792.1&NavID=3052.251&La=1"
Kaufbeuren,Kreisfreie Stadt,9762,98.0,0%,98,,https://www.landkreis-ostallgaeu.de/aktuelles.html,https://www.landkreis-ostallgaeu.de/aktuelles.html,23/04/2020 00:00, 98,,,,,3.0,,,Nichts Neues,0,C98 G D3 22:30-23:00,James,,0,,,96,3.0,,,,,,,,,2.0,66,,3.0,23/04/2020 00:00,9,1.0,https://www.landkreis-ostallgaeu.de/aktuelles.html
Kelheim,Landkreis,9273,416.0,2%,424,424.0,https://www.landkreis-kelheim.de/amt-service/coronavirus/,https://www.landkreis-kelheim.de/amt-service/meldungen/koordinierungsstelle-update-mittwoch-22042020/,24/04/2020 08:00, 424,315.0,,,,31.0,24/04/2020 10:30,https://www.landkreis-kelheim.de/amt-service/meldungen/koordinierungsstelle-update-freitag-24042020/,@distanzreiter, 8,424 C 315 G 31 D checked 12:35,@jonasfbb,Stain Fels,1,,315.0,408,31.0,248.0,,,,,,,,12.0,283,308.0,29.0,23/04/2020 19:50,9,1.0,https://www.landkreis-kelheim.de/amt-service/meldungen/koordinierungsstelle-update-mittwoch-22042020/
Kempten (Allgäu),Kreisfreie Stadt,9763,102.0,0%,102,,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,23/04/2020 19:25, 102,,,,,5.0,24.04.2020,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,@bandur,0,C102 G D5 22:30-23:00,James,,0,,70.0,101,5.0,,,,,,,,,3.0,65,70.0,5.0,23/04/2020 19:25,9,1.0,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html
Kitzingen,Landkreis,9675,126.0,12%,141,141.0,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/uebersichtsseite-corona/,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/uebersichtsseite-corona/,24/04/2020 15:00, 141,90.0, 115,,,1.0,24/04/2020 08:00,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/uebersichtsseite-corona/,@mittedeathsquad, 15,141 C 90 G 1 D Checked 12:34,@jonasfbb,@plateauton,1,,90.0,125,1.0,226.0,,,,,,,,,72,70.0,1.0,23/04/2020 08:00,9,1.0,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/uebersichtsseite-corona/
Kronach,Landkreis,9476,129.0,0%,129,,https://www.landkreis-kronach.de/aktuelles/coronavirus/,https://www.landkreis-kronach.de/aktuelles/coronavirus/pressemitteilung-des-landratsamtes-kronach-vom-22042020/,23/04/2020 19:50, 129,92.0, 44,6.0,1.0,3.0,24/04/2020 18:30,https://www.landkreis-kronach.de/aktuelles/coronavirus/pressemitteilung-des-landratsamtes-kronach-vom-24042020/,Thomas Gaigl,0,C129 G92 D3 22:30-23:00,James,,0,,83.0,126,3.0,115.0,,,,,,,,,81,83.0,3.0,23/04/2020 19:50,9,1.0,https://www.landkreis-kronach.de/aktuelles/coronavirus/pressemitteilung-des-landratsamtes-kronach-vom-22042020/
Kulmbach,Landkreis,9477,188.0,0%,188,,https://www.landkreis-kulmbach.de/landratsamt-kulmbach/pressebereich/coronavirus/aktuelles/aktuelle-pressemitteilungen-fuer-den-landkreis-kulmbach/,https://www.landkreis-kulmbach.de/fileadmin/user_upload/Home/Pressebereich/Pressemappen/Coronavirus/PM/PM_200422_Update_Coronavirus-F%C3%A4lle.pdf,23/04/2020 20:00, 189,128.0,,14.0,3.0,9.0,24/04/2020 15:00,https://www.landkreis-kulmbach.de/fileadmin/user_upload/Home/Pressebereich/Pressemappen/Coronavirus/PM/PM_200424_Update_Coronavirus-F%C3%A4lle.pdf,@Elvte_76, 1,C189 G128 D9 22:30-23:00,James,,0,,120.0,179,9.0,,,,,,,,,4.0,130,120.0,9.0,23/04/2020,9,1.0,https://www.landkreis-kulmbach.de/fileadmin/user_upload/Home/Pressebereich/Pressemappen/Coronavirus/PM/PM_200422_Update_Coronavirus-F%C3%A4lle.pdf
Landsberg am Lech,Landkreis,9181,323.0,0%,323,,https://www.landkreis-landsberg.de/aktuelles/pressemitteilungen/corona-virus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,23/04/2020 10:00, 323,,,,,9.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia,0,C323 G D9 22:30-23:00,James,,0,,,307,9.0,,,,,,,,https://www.facebook.com/landkreislandsbergamlech/,4.0,254,,9.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Landshut,Kreisfreie Stadt,9261,250.0,1%,252,252.0,http://www.landshut.de/portal/startseite.html,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 252,116.0,,,,7.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 2,252 C 7 D Checked 14:44,@jonasfbb,@plateauton,1,,116.0,250,7.0,,,,,,,,,6.0,184,116.0,5.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
Landshut,Landkreis,9274,608.0,3%,628,628.0,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,24/04/2020 00:00, 628,275.0,,45.0,7.0,24.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 20,628 C 24 D Checked 14:42,@jonasfbb,@plateauton,1,,275.0,607,24.0,,,,,,,,,15.0,457,275.0,22.0,23/04/2020 10:00,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
